Course Title,Rating
 Assisting Public Sector Decision Makers With Policy Analysis,2
 Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE,1
 Build a social media presence for your business using Canva,3
 Build social awareness content for Twitter with Canva,1
" Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado",2
 FPGA computing systems: Background knowledge and introductory materials,1
 Fundamentals of Business Problem Solving,1
 Future Healthcare Payment Models,1
 Generative AI: Elevate Your Data Science Career,1
 HEALTHY URBAN SYSTEMS - PART 1,1
 How to create Social Media graphics in Canva ,2
 IBM and ISC2 Cybersecurity Specialist Professional Certificate,4
 IT Security: Defense against the digital dark arts ,4
 Improving Immunity Based on Traditional Eastern Exercises,1
 Incrementar - Parte 2 y Controlar,1
 Intel® Network Academy - Network Transformation 101,1
 Introduction to Academic Writing,3
 Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,1
 Les bits et les octets des réseaux informatiques,1
 Manejo del enfermo semicrítico y crítico por COVID-19,1
 Market your new business with Canva,1
 Natural Language Processing and Capstone Assignment,2
 Physics 102  - Magnetic Fields and Faraday's Law,1
 Plane und erstelle einen Aufgabenkalender in Trello,1
 Predictive Analytics for Business with H2O in R,1
 Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,1
 Preparation for CompTIA A+ Certification Specialization,2
 Solving Business Problems with Spreadsheet Modeling,1
 Storytelling in Branding and Content Marketing ,1
 Supervised Machine Learning: Classification,2
 System Administration and IT Infrastructure Services,2
" The Great Sustainability Transition: Global challenges, Local actions",2
" Tobacco Control: Agile Policy, Research and Practice ",1
 Unsupervised Machine Learning,1
 Using Design to Generate Innovative Business Solutions,1
 أساسيات برنامج مايكروسوفت اكسيل | Essentials of MS Excel,1
 إدخال البيانات في مايكروسوفت إكسل,1
 البرمجة اللغوية العصبية | NLP ,1
 التنسيق في مايكروسوفت إكسل | Formatting in MS Excel ,1
 التوازن بين القدرات والتوقعات في بناء الذات,1
 بوستغرسيكويل مع تكنولوجيا المعلومات,1
 كيف توازن بين عملك وحياتك الشخصية,1
 مهارات التفكير الجانبي  | Lateral Thinking Skills,1
 مهارات تسوية النزاعات | Conflict Resolution Skills,1
 一堂課讓你認識肺癌（Basic Concepts of Lung Cancer: Diagnosis and Treatment）,1
"""Making"" Progress Teach-Out",2
#talkmentalillness,2
(Business Writing) الكتابة في مجال الأعمال,1
(Giving Helpful Feedback) إعطاء الملاحظات المفيدة,1
(ISC)² Systems Security Certified Practitioner (SSCP) ,1
(Non) Status quo Attitudes with NetLogo,1
(Successful Presentation) العرض التقديمي الناجح,1
.NET FullStack Developer Specialization,1
.Net Full Stack Foundation,2
1. 基礎知識：データはあらゆるところにある,2
1.- El Cálculo - Modelo Lineal,1
2. データに基づいた意思決定を行うための問いかけ,3
2.- El Cálculo - Modelo Cuadrático,1
20世纪西方音乐 Western Music in the 20th Century,1
21st Century Energy Transition: how do we make it work?,1
3-Axis Machining with Autodesk Fusion 360,1
3.- El Cálculo - Modelo Cúbico,1
3D CAD Application,1
3D CAD Fundamental,4
3D Data Visualization for Science Communication,2
3D Model Creation with Autodesk Fusion 360,1
3D Printing Applications,1
3D Printing Technology Deep Dive and Use Cases,1
3D Printing and Additive Manufacturing Specialization,2
4.- El Cálculo - Otros Modelos,1
4G Network Fundamentals,1
5 Ways to Build a Better LinkedIn Profile,1
5G Network Fundamentals,1
5G for Everyone,4
A Blueprint for Success – Your Video Pre-Production,1
A Brief History of Human Spaceflight,1
A Business Approach to Sustainable Landscape Restoration,1
A Circular Economy of Metals: Towards a Sustainable Societal Metabolism,2
A Complete Reinforcement Learning System (Capstone),2
A Consultative Approach to Working with Recruiters,1
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,2
A Crash Course in Data Science,1
A General Approach to Risk Management,1
A Guide to Diversifying and Transforming Football Leadership,1
A Guide to Healthcare Innovation: Principles and Practice ,1
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650) ,1
A Law Student's Toolkit,2
A Life of Happiness and Fulfillment,3
A New Communication Framework for Healthcare,1
A Practitioner's Approach to Power Distribution & Automation Specialization,2
A Public Health Approach to Hearing Loss and Aging,1
A Second Brain with Obsidian,1
A Story of Economics: A Principles Tale Specialization,2
A Strategic Approach to Cybersecurity,1
A Technical Leader's Qualities and Effectiveness,1
A Theoretical Origin of Ethics in Business and Tech Industry,1
A Tour of Google Cloud Hands-on Labs,1
A Tour of Google Cloud Sustainability,1
A Voice of Their Own. Women's Spirituality in the Middle Ages.,1
A complexidade sensível: Um paralelo entre videogames e arte,1
A la recherche du Grand Paris,2
A life with ADHD,1
A l’avènement du christianisme : l’archéologie des derniers païens,1
A quick tour on Big Data and Business Intelligence,2
A starter’s guide to Open Science,2
"A tanulás tanulása: Hatékony mentális eszközök, melyek segítenek megbirkózni a nehéz tantárgyakkal (Learning How to Learn)",1
A tecnologia da produção musical ,1
ADHD: Everyday Strategies for Elementary Students,2
ADP Accountant Connect Certification,1
AI & Law ,5
AI Applications in Marketing and Finance,2
AI Applications in People Management ,2
AI Capstone Project with Deep Learning ,1
AI Essentials ,1
AI For Business Specialization,2
AI For Everyone,3
AI For Everyone （すべての人のためのAIリテラシー講座）,1
AI For Medical Treatment,3
AI Foundations for Everyone Specialization,2
AI Foundations: Prompt Engineering with ChatGPT,4
AI Fundamentals for Non-Data Scientists,2
AI Platform: Qwik Start,1
AI Product Management Specialization,4
AI Strategy and Governance,2
AI Workflow: Business Priorities and Data Ingestion,1
AI and Climate Change,2
AI and Disaster Management,1
AI and Public Health,2
AI for Business: Generation & Prediction,1
AI for Good Specialization,5
AI for Medical Diagnosis,3
AI for Medical Prognosis ,2
AI for Medicine Specialization,3
AI in Healthcare Capstone,1
AI in Healthcare Specialization,6
"AI, Business & the Future of Work",5
"AI, Empathy & Ethics",1
AIDS: Fear and Hope,1
API Design and Fundamentals of Google Cloud's Apigee API Platform,1
APIs,2
AR (Augmented Reality) & Video Streaming Services Emerging Technologies,1
ART of the MOOC: Activism and Social Movements,1
ART of the MOOC: Activismo y Movimientos Sociales,1
ART of the MOOC: Arte Público y Pedagogía ,1
ART of the MOOC: Public Art and Pedagogy,1
ASME B31 Series and Pipeline Construction,1
ASP.NET for Experienced Developers Specialization,2
AWS Cloud Practitioner Essentials,1
AWS Cloud Solutions Architect  Professional Certificate,3
AWS Cloud Technical Essentials,1
AWS Cloud Technology Consultant Professional Certificate,1
AWS Cloudfront: Serve content from multiple S3 buckets,1
AWS CodePipeline Beginner's Guide,1
AWS DynamoDB Fundamentals,1
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,1
AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,1
AWS Fundamentals Specialization,1
AWS S3 Basics,1
AWS Services Overview for IT Professionals,1
AWS: Data Management and Backups,1
AWS: Monitoring and Logging,1
AWS: Networking,1
AWS: Publish a NodeJS Website from Scratch,1
AWS: Security and Cost Optimization strategies,1
Abnormal Psychology Specialization,1
Abordaje del riesgo suicida en adolescentes y jóvenes ,1
Aboriginal Worldviews and Education,2
"Abstraction, Problem Decomposition, and Functions",1
Academic English: Writing Specialization,2
Academic Information Seeking,1
